artist_name,artist_id
Gen Hoshino,1
Ben Woodward,2
Ingrid Michaelson;ZAYN,3
Kina Grannis,4
Chord Overstreet,5
Tyrone Wells,6
A Great Big World;Christina Aguilera,7
Jason Mraz,8
Jason Mraz;Colbie Caillat,9
Ross Copperman,10
Zack Tabudlo,11
Dan Berk,12
Anna Hamilton,13
Chord Overstreet;Deepend,14
Landon Pigg,15
Andrew Foy;Renee Foy,16
Boyce Avenue;Bea Miller,17
Boyce Avenue;Jennel Garcia,18
Brandi Carlile;Sam Smith,19
KT Tunstall,20
Brandi Carlile,21
Eddie Vedder,22
Brandi Carlile;Lucius,23
Highland Peak,24
Motohiro Hata,25
Andrew Belle,26
Ron Pope,27
Adam Christopher,28
Aron Wright,29
Sara Bareilles,30
Kurt Cobain,31
Tim Halperin,32
Canyon City,33
Aaron Espe,34
Tyler Ward,35
Five For Fighting,36
Bailey Jehl,37
Ingrid Michaelson,38
A Great Big World,39
Eddie Vedder;Nusrat Fateh Ali Khan,40
Drew Holcomb & The Neighbors,41
Gabrielle Aplin,42
The Civil Wars,43
Callum J Wright,44
Boyce Avenue;Fifth Harmony,45
Boyce Avenue,46
Gabrielle Aplin;JP Cooper,47
Mone Kamishiraishi,48
John Adams,49
Kitri,50
Augustana,51
Matthew Perryman Jones,52
Ray LaMontagne;Sierra Ferrell,53
Meg Birch,54
Catherine Feeny,55
Joshua Hyslop,56
JJ Heller,57
Howie Day,58
Ben Rector,59
Matt Nathanson,60
Rachael Yamagata,61
Parachute,62
Susie Suh;Robot Koch,63
Tyler Ward;Lindsey Stirling;Kina Grannis,64
Eden Elf;Ren Avel,65
Boyce Avenue;Rachel Grae,66
Cary Brothers,67
The Mayries,68
Joseph Sullinger,69
Zack Tabudlo;Yonnyboii,70
Tobey Rosen,71
Aqualung,72
Tyler Ward;Karis;Ray Lorraine,73
Agustín Amigó;Nylonwings,74
Amy Stroup,75
Boyce Avenue;Connie Talbot,76
Caleb Santos;Viva Music Publishing Inc.,77
Priscilla Ahn,78
Jon Bryant,79
Donovan Woods,80
Angelina Cruz,81
Stephen Speaks,82
The Weepies;Deb Talan;Steve Tannen,83
Freddie King,84
Taj Mahal,85
Keb' Mo';Gerald Albright,86
Thomas Daniel,87
